id,Predicted
592380,0.31454283
592381,0.10576083
592382,0.22441356
592383,0.37204328
592384,0.21983977
592385,0.09894244
592386,0.10860925
592387,0.12252999
592388,0.13302581
592389,0.11637121
592390,0.099048495
592391,0.09321789
592392,0.32006893
592393,0.2565999
592394,0.21582325
592395,0.2242892
592396,0.2221554
592397,0.10208193
592398,0.06904439
592399,0.27243733
592400,0.09943108
592401,0.13732503
592402,0.14289533
592403,0.15952598
592404,0.10956348
592405,0.15429433
592406,0.12641425
592407,0.20371114
592408,0.11125245
592409,0.16000459
592410,0.15097016
592411,0.16735081
592412,0.13981937
592413,0.16471435
592414,0.072516225
592415,0.22768241
592416,0.14921293
592417,0.37204328
592418,0.2276201
592419,0.1041159
592420,0.121139154
592421,0.15251987
592422,0.13082482
592423,0.22658862
592424,0.12337054
592425,0.16363947
592426,0.4144699
592427,0.197855
592428,0.32172692
592429,0.0933648
592430,0.10803693
592431,0.36919606
592432,0.28684425
592433,0.12403282
592434,0.06927258
592435,0.25473735
592436,0.30261734
592437,0.17717263
592438,0.11583967
592439,0.1300759
592440,0.18109022
592441,0.18009736
592442,0.20801634
592443,0.20682448
592444,0.11687479
592445,0.13287683
592446,0.1324837
592447,0.033015545
592448,0.12628655
592449,0.37204328
592450,0.14229533
592451,0.10844514
592452,0.2842914
592453,0.12580489
592454,0.114398845
592455,0.10365059
592456,0.19202653
592457,0.16875108
592458,0.13536465
592459,0.10266755
592460,0.09837671
592461,0.19819154
592462,0.09241441
592463,0.30702814
592464,0.5950585
592465,0.094569564
592466,0.16784039
592467,0.114465706
592468,0.3921614
592469,0.12528858
592470,0.06231036
592471,0.037167933
592472,0.1742574
592473,0.071555585
592474,0.18200363
592475,0.15183559
592476,0.20550622
592477,0.14919186
592478,0.26284668
592479,0.14561543
592480,0.2822303
592481,0.13169216
592482,0.18433486
592483,0.16287076
592484,0.060800426
592485,0.13686663
592486,0.083266646
592487,0.23539777
592488,0.20793682
592489,0.10671457
592490,0.18313181
592491,0.14510483
592492,0.06675643
592493,0.1524535
592494,0.19442165
592495,0.16579485
592496,0.221019
592497,0.12243959
592498,0.30969316
592499,0.33210236
592500,0.12005605
592501,0.078925654
592502,0.15920855
592503,0.037159726
592504,0.31591246
592505,0.12386508
592506,0.10037712
592507,0.09507193
592508,0.3481273
592509,0.05468764
592510,0.07496276
592511,0.10816124
592512,0.7305223
592513,0.15418321
592514,0.12383101
592515,0.073386006
592516,0.12892734
592517,0.004414604
592518,0.13583906
592519,0.28829518
592520,0.1278459
592521,0.25525507
592522,0.15630813
592523,0.18446276
592524,0.23364483
592525,0.07927343
592526,0.18189257
592527,0.16376503
592528,0.102986254
592529,0.26295575
592530,0.208977
592531,0.35882142
592532,0.119021215
592533,0.123764284
592534,0.15105556
592535,0.079869315
592536,0.13762313
592537,0.36166438
592538,0.17770511
592539,0.029472623
592540,0.05774401
592541,0.062628396
592542,0.15019563
592543,0.14160457
592544,0.08060489
592545,0.10404294
592546,0.17582129
592547,0.23945655
592548,0.13031702
592549,0.21170405
592550,0.056292746
592551,0.28470117
592552,0.17695989
592553,0.18535024
592554,0.068485476
592555,0.10804058
592556,0.3341663
592557,0.110270195
592558,0.07034966
592559,0.17477413
592560,0.23707594
592561,0.218314
592562,0.37204328
592563,0.15894131
592564,0.15216108
592565,0.057876628
592566,0.12947272
592567,0.13077632
592568,0.13546376
592569,0.074665226
592570,0.3244054
592571,0.08197209
592572,0.14331782
592573,0.017620841
592574,0.30042112
592575,0.08527508
592576,0.13518003
592577,0.10830488
592578,0.16516748
592579,0.082747355
592580,0.19780482
592581,0.049328033
592582,0.12654237
592583,0.16154338
592584,0.2389934
592585,0.2630552
592586,0.13737532
592587,0.04539704
592588,0.09413913
592589,0.08870303
592590,0.22529195
592591,0.26914728
592592,0.19019552
592593,0.09359324
592594,0.3722173
592595,0.12125427
592596,0.06884308
592597,0.13832766
592598,0.170805
592599,0.12889768
592600,0.051047165
592601,0.13549113
592602,0.12792242
592603,0.13161498
592604,0.12717211
592605,0.1144402
592606,0.106455706
592607,0.27105686
592608,0.15381825
592609,0.12105957
592610,0.108492054
592611,0.12328762
592612,0.0774956
592613,0.13112976
592614,0.22599438
592615,0.22294201
592616,0.16313913
592617,0.17448671
592618,0.12275342
592619,0.0782298
